period,strategy_id,strategy_name,total_return_pct,cagr_pct,sharpe_ratio,max_drawdown_pct,volatility_annual_pct,total_dividend_income_yen,dividend_contribution_pct,annualized_dividend_yield_pct,win_rate_pct,total_buys,total_sells
2020-2022,A,利回り単純順,48.84,22.02,1.414,7.36,14.93,147019.0,3.0,0.73,100.0,33,13
2020-2022,B,ボックス × 利回り,48.4,21.84,1.403,7.36,14.94,160326.0,3.3,0.8,100.0,33,13
2020-2022,C,Q75乖離率順,46.05,20.87,1.197,11.14,17.1,167896.0,3.6,0.84,92.3,33,13
2020-2022,D,多要素スコア,39.08,17.95,1.091,8.39,16.38,174877.0,4.5,0.87,92.3,33,13
2020-2022,E,利回り × ROE,42.17,19.25,1.23,7.52,15.31,177737.0,4.2,0.89,100.0,31,11
2022-2024,A,利回り単純順,36.91,17.0,2.339,2.63,6.86,255983.0,6.9,1.27,81.8,31,11
2022-2024,B,ボックス × 利回り,39.37,18.04,2.548,2.62,6.65,263951.0,6.7,1.31,90.0,30,10
2022-2024,C,Q75乖離率順,34.95,16.16,2.172,3.21,7.06,220284.0,6.3,1.09,83.3,26,6
2022-2024,D,多要素スコア,35.59,16.43,2.586,2.6,6.0,235424.0,6.6,1.17,90.0,30,10
2022-2024,E,利回り × ROE,40.91,18.69,2.337,2.77,7.51,262729.0,6.4,1.3,90.9,31,11
2024-2026,A,利回り単純順,16.34,7.86,0.961,5.06,8.24,196455.0,12.0,0.98,50.0,24,4
2024-2026,B,ボックス × 利回り,16.37,7.88,0.962,5.06,8.25,196455.0,12.0,0.98,50.0,24,4
2024-2026,C,Q75乖離率順,16.73,8.05,0.988,5.06,8.18,196455.0,11.7,0.98,50.0,24,4
2024-2026,D,多要素スコア,16.34,7.86,0.961,5.06,8.24,196455.0,12.0,0.98,50.0,24,4
2024-2026,E,利回り × ROE,16.23,7.82,0.967,5.06,8.13,196455.0,12.1,0.98,50.0,24,4
