period,strategy_id,strategy_name,total_return_pct,cagr_pct,sharpe_ratio,max_drawdown_pct,volatility_annual_pct,total_dividend_income_yen,dividend_contribution_pct,annualized_dividend_yield_pct,win_rate_pct,total_buys,total_sells
2020-2022,A,利回り単純順,56.27,25.03,1.41,9.16,16.95,187164.0,3.3,0.93,100.0,33,13
2020-2022,B,ボックス × 利回り,56.49,25.11,1.439,8.52,16.62,236813.0,4.2,1.18,100.0,33,13
2020-2022,C,Q75乖離率順,64.81,28.4,1.433,8.32,18.77,166874.0,2.6,0.83,93.8,36,16
2020-2022,D,多要素スコア,51.48,23.09,1.271,9.42,17.64,213396.0,4.1,1.06,93.3,35,15
2020-2022,E,利回り × ROE,65.7,28.75,1.534,8.25,17.6,174484.0,2.7,0.87,100.0,32,12
2022-2024,A,利回り単純順,47.12,21.28,1.978,4.85,10.09,240935.0,5.1,1.2,90.0,30,10
2022-2024,B,ボックス × 利回り,50.52,22.67,2.031,5.85,10.42,265234.0,5.3,1.32,90.9,31,11
2022-2024,C,Q75乖離率順,43.97,19.97,1.83,8.05,10.32,158875.0,3.6,0.79,83.3,26,6
2022-2024,D,多要素スコア,44.08,20.02,1.716,5.92,11.07,247210.0,5.6,1.23,90.0,30,10
2022-2024,E,利回り × ROE,49.28,22.16,1.92,6.84,10.82,214881.0,4.4,1.07,90.0,30,10
2024-2026,A,利回り単純順,25.25,11.92,1.074,6.82,11.1,431016.0,17.1,2.13,80.0,21,5
2024-2026,B,ボックス × 利回り,25.26,11.93,1.074,6.82,11.09,432809.0,17.1,2.14,80.0,21,5
2024-2026,C,Q75乖離率順,25.87,12.2,1.096,6.79,11.1,435957.0,16.9,2.16,80.0,21,5
2024-2026,D,多要素スコア,24.54,11.61,1.056,6.9,11.01,432809.0,17.6,2.14,83.3,21,6
2024-2026,E,利回り × ROE,25.14,11.88,1.074,6.87,11.06,432809.0,17.2,2.14,83.3,21,6
